region,dish,emoji,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8
Asian,Ramen,🍜,noodles,pork_broth,soy_sauce,garlic,ginger,soft_boiled_egg,green_onion,nori
Asian,Sushi,🍣,sushi_rice,nori,salmon,tuna,avocado,soy_sauce,wasabi,pickled_ginger
Asian,Kung_Pao_Chicken,🐔,chicken,peanuts,dried_chiles,soy_sauce,rice_vinegar,sugar,garlic,ginger
Asian,Bibimbap,🍚,short_grain_rice,beef,spinach,bean_sprouts,carrot,gochujang,sesame_oil,egg
Asian,Pad_Thai,🍜,rice_noodles,shrimp,egg,bean_sprouts,peanuts,fish_sauce,tamarind,lime
Asian,Dim_Sum,🥟,shrimp,pork,dumpling_wrappers,ginger,soy_sauce,sesame_oil,green_onion,bamboo_shoots
Asian,Bulgogi,🥩,beef,soy_sauce,pear,sesame_oil,garlic,ginger,green_onion,sugar
Asian,Pho,🍜,rice_noodles,beef,bone_broth,star_anise,ginger,cinnamon,basil,bean_sprouts
Asian,Gyoza,🥟,pork,cabbage,garlic,ginger,soy_sauce,sesame_oil,dumpling_wrappers,green_onion
Asian,Char_Siu,🐷,pork_shoulder,hoisin_sauce,soy_sauce,honey,five_spice,garlic,sugar,shaoxing_wine
Asian,Peking_Duck,🦆,whole_duck,hoisin_sauce,chinese_pancake,cucumber,green_onion,soy_sauce,five_spice,honey
Asian,Japchae,🍝,glass_noodles,beef,spinach,mushroom,carrot,soy_sauce,sesame_oil,sugar
Asian,Banh_Mi,🥖,baguette,pork,pate,pickled_daikon,cilantro,jalapeño,mayo,soy_sauce
Asian,Mapo_Tofu,🌶️,soft_tofu,ground_pork,doubanjiang,sichuan_pepper,garlic,ginger,broth,green_onion
Asian,Tteokbokki,🔴,rice_cakes,gochujang,fish_cake,onion,egg,green_onion,broth,sugar
Asian,Nasi_Goreng,🍛,cooked_rice,egg,shrimp,soy_sauce,garlic,shallot,chili,kecap_manis
Asian,Laksa,🍜,rice_noodles,shrimp,coconut_milk,laksa_paste,tofu_puffs,bean_sprouts,egg,lime
Asian,Tempura,🍤,shrimp,sweet_potato,flour,egg,ice_water,dashi,mirin,soy_sauce
Asian,Miso_Soup,🥣,dashi,miso_paste,tofu,wakame,green_onion,mushroom,salt,water
Asian,Hot_Pot,🫕,beef_broth,beef_slices,tofu,mushroom,napa_cabbage,sesame_paste,sichuan_pepper,glass_noodles
Asian,Rendang,🍛,beef,coconut_milk,lemongrass,galangal,turmeric,dried_chiles,garlic,kaffir_lime
Asian,Spring_Rolls,🌯,rice_paper,shrimp,pork,vermicelli,lettuce,mint,cilantro,peanut_sauce
Asian,Okonomiyaki,🥞,flour,cabbage,egg,pork_belly,bonito_flakes,mayo,okonomiyaki_sauce,green_onion
Asian,Takoyaki,🐙,octopus,flour,dashi,egg,green_onion,pickled_ginger,mayo,bonito_flakes
Asian,Yakitori,🍢,chicken_thighs,soy_sauce,mirin,sake,sugar,green_onion,sesame,ginger
Indian,Butter_Chicken,🍛,chicken,tomato_puree,cream,butter,garlic,ginger,garam_masala,onion
Indian,Biryani,🍚,basmati_rice,chicken,yogurt,onion,saffron,ghee,fried_onions,whole_spices
Indian,Dal_Tadka,🫘,yellow_lentils,tomato,onion,garlic,ginger,turmeric,cumin,ghee
Indian,Palak_Paneer,🌿,spinach,paneer,onion,tomato,garlic,ginger,cream,garam_masala
Indian,Samosa,🔺,potato,green_peas,onion,ginger,cumin,coriander,pastry_dough,oil
Indian,Chicken_Tikka_Masala,🍗,chicken,yogurt,tomato,cream,onion,garlic,ginger,tikka_spices
Indian,Naan,🫓,all_purpose_flour,yogurt,yeast,ghee,garlic,salt,milk,egg
Indian,Chana_Masala,🫘,chickpeas,tomato,onion,garlic,ginger,cumin,coriander,amchur
Indian,Korma,🍛,chicken,yogurt,cream,cashews,onion,garlic,cardamom,saffron
Indian,Aloo_Gobi,🥔,potato,cauliflower,onion,tomato,garlic,ginger,turmeric,cumin
Indian,Rogan_Josh,🐑,lamb,yogurt,tomato,onion,garlic,ginger,kashmiri_chili,whole_spices
Indian,Dosa,🥞,rice,urad_dal,fenugreek,oil,potato_filling,mustard_seeds,curry_leaves,salt
Indian,Idli,⚪,rice,urad_dal,fenugreek,salt,water,coconut_chutney,sambar,ginger
Indian,Chole_Bhature,🫘,chickpeas,onion,tomato,garlic,ginger,garam_masala,bhatura_dough,oil
Indian,Pav_Bhaji,🍔,potato,mixed_vegetables,butter,pav_bun,onion,tomato,pav_bhaji_masala,lemon
Indian,Saag_Paneer,🌿,mustard_greens,spinach,paneer,onion,garlic,ginger,cream,spices
Indian,Gulab_Jamun,🟤,milk_powder,flour,ghee,sugar_syrup,cardamom,rose_water,saffron,oil
Indian,Kheer,🍮,basmati_rice,whole_milk,sugar,cardamom,saffron,pistachios,almonds,rose_water
Indian,Tandoori_Chicken,🍗,chicken,yogurt,tandoori_masala,lemon,garlic,ginger,oil,red_chili
Indian,Vindaloo,🌶️,pork,vinegar,onion,garlic,ginger,dried_chiles,cumin,mustard_seeds
Indian,Malai_Kofta,🧆,paneer,potato,cream_sauce,cashew,tomato,onion,cardamom,saffron
Indian,Dhansak,🍛,lentils,lamb,pumpkin,spinach,tomato,onion,garlic,dhansak_masala
Indian,Pani_Puri,💧,semolina_puri,spiced_water,tamarind_chutney,potato,chickpeas,onion,cilantro,chaat_masala
Indian,Bhindi_Masala,🟢,okra,tomato,onion,garlic,ginger,cumin,coriander,amchur
Indian,Mishti_Doi,🍮,whole_milk,yogurt,jaggery,cardamom,saffron,rose_water,cream,sugar
Italian,Pizza_Margherita,🍕,pizza_dough,tomato_sauce,fresh_mozzarella,basil,olive_oil,salt,yeast,flour
Italian,Pasta_Carbonara,🍝,spaghetti,eggs,guanciale,pecorino_romano,black_pepper,salt,parsley,olive_oil
Italian,Risotto_Milanese,🍚,arborio_rice,onion,white_wine,parmesan,butter,beef_broth,saffron,garlic
Italian,Lasagna,🧀,lasagna_sheets,ground_beef,tomato_sauce,bechamel,mozzarella,parmesan,onion,garlic
Italian,Tiramisu,🍰,mascarpone,eggs,sugar,espresso,savoiardi,cocoa_powder,marsala,cream
Italian,Osso_Buco,🍖,veal_shank,white_wine,onion,carrot,celery,tomato,beef_broth,gremolata
Italian,Bruschetta,🥖,sourdough_bread,ripe_tomato,basil,garlic,olive_oil,salt,pepper,balsamic
Italian,Minestrone,🥣,cannellini_beans,pasta,tomato,zucchini,carrot,celery,onion,parmesan
Italian,Gnocchi,🥔,potato,flour,egg,salt,butter,sage,parmesan,nutmeg
Italian,Panna_Cotta,🍮,heavy_cream,sugar,gelatin,vanilla,mixed_berries,lemon_zest,milk,honey
Italian,Saltimbocca,🥩,veal,prosciutto,sage,butter,white_wine,garlic,salt,pepper
Italian,Arancini,🍙,risotto_rice,mozzarella,ground_beef,peas,egg,breadcrumbs,tomato_sauce,parmesan
Italian,Cacio_e_Pepe,🍝,spaghetti,pecorino_romano,black_pepper,pasta_water,butter,salt,parmesan,olive_oil
Italian,Focaccia,🍞,flour,olive_oil,yeast,salt,rosemary,garlic,water,sea_salt_flakes
Italian,Ribollita,🥣,cannellini_beans,kale,bread,tomato,onion,carrot,celery,olive_oil
Italian,Bistecca_Fiorentina,🥩,t_bone_steak,olive_oil,rosemary,garlic,salt,black_pepper,lemon,butter
Italian,Pesto_Pasta,🍝,pasta,basil,pine_nuts,parmesan,garlic,olive_oil,lemon,salt
Italian,Frittata,🍳,eggs,zucchini,onion,parmesan,olive_oil,basil,salt,pepper
